keywords,paragraph
napa|ldcs,"Chair Ojoo-Massawa then presented the draft decision on the CGE, noting that all reference to <span class=""highlight"">LDCs</span> and <span class=""highlight"">NAPAs</span> remains bracketed pending the decision taken in the <span class=""highlight"">LDC</span> consultations on whether mention of <span class=""highlight"">LDCs</span> and <span class=""highlight"">NAPAs</span> would be included in the CGE decision. The G-77/CHINA stressed the importance of a paragraph on evaluating the real cost of preparing national communications. The EU, with AUSTRALIA, highlighted that this skill-set was not present in the CGE, and supported deleting the paragraph. Parties agreed. Outstanding issues then related to dates for workshops to be held, and the review of the terms of reference for the CGE. The G-77/CHINA proposed two workshops be held in 2002, and that the terms of reference be reviewed at COP-8, to which delegates agreed."
funding|ldcs|ldc fund,"<span class=""highlight"">LDCS</span>:   The <span class=""highlight"">LDC</span> drafting group continued its work, addressing the draft negotiating text on the establishment of an <span class=""highlight"">LDC</span> expert group. No movement was reported on the operation of the <span class=""highlight"">LDC</span> <span class=""highlight"">Fund</span>. Discussions continued throughout the day and into the night."
supplementarity|lulucf,"Several delegates were expressing concern Monday evening as a stock-taking Plenary was canceled due to the pressing need to continue talks in negotiating and drafting groups. Although the Bureau seemed confident that substantial progress could be made overnight, some observers were skeptical that major breakthroughs would occur on the remaining big issues, suggesting that delegates would hold on to negotiating capital until closer to the high- level segment due to start Wednesday. As the COP-7 countdown continued, several participants appeared anxious at the number of issues still to be resolved. Key areas of contention include eligibility criteria on the mechanisms, the commitment period reserve under Article 17, applicable consequences in relation to compliance, and reporting on <span class=""highlight"">LULUCF</span> and <span class=""highlight"">supplementarity</span>. In addition, Article 7.4 is a cross-cutting issue that many feel has not yet entered a substantive negotiating stage. In spite of this heavy agenda, however, optimists point out that all these outstanding issues could be resolved by the end of the conference."
bunker fuels|forest|lulucf|harvested wood products|technology transfer|technology,"The final meeting of SBSTA-15 was held in the afternoon, with the report of the session and the following conclusions being adopted without discussion: ongoing activities on reporting and <span class=""highlight"">GHG inventories</span> from Annex I Parties; <span class=""highlight"">emissions</span> resulting from <span class=""highlight"">bunker fuels</span>; good practice guidance for <span class=""highlight"">LULUCF</span>; <span class=""highlight"">emissions</span> from <span class=""highlight"">forest</span> harvesting and <span class=""highlight"">wood</span> products; <span class=""highlight"">technology</span> transfer; cooperation with relevant international organizations; <span class=""highlight"">education</span>, <span class=""highlight"">training and public awareness</span>; <span class=""highlight"">AIJ</span>; and the special circumstances of Croatia."
hfcs|hydrofluorocarbons|perfluorocarbons|emission|gas|energy,"On organizational matters, delegates elected Philip Weech (the Bahamas) as SBSTA Vice-Chair and Tatyana Ososkova (Uzbekistan) as SBSTA Rapporteur. On methods to evaluate impacts and adaptation, the conclusions were amended to include reference to global and regional international organizations. The conclusions on issues relating to <span class=""highlight"">hydrofluorocarbons</span> and <span class=""highlight"">perfluorocarbons</span> were amended to provide for ChinaÂ’s proposal that only Annex I Parties be encouraged to update information on means for limiting such <span class=""highlight"">emissions</span>. The conclusions relating to CanadaÂ’s proposal on cleaner or less greenhouse <span class=""highlight"">gas</span> emitting <span class=""highlight"">energy</span> were adopted, with the EU emphasizing the need for well defined terms of reference for the workshop."
ipcc third/fourth assessment report|intergovernmental panel on climate change|scientific uncertainty|uncertainties,"On the conclusions relating to the <span class=""highlight"">IPCC</span> <span class=""highlight"">Third Assessment Report</span> (<span class=""highlight"">TAR</span>), SAUDI ARABIA and KUWAIT proposed deferring the issue to SBSTA-16. The EU and others urged adoption of the conclusions. Following further informal consultations, compromise text was agreed. References to assessing the implications of the <span class=""highlight"">TAR</span> were deleted, and the scope of the proposed workshop on the <span class=""highlight"">TAR</span> was amended to include reference to <span class=""highlight"">scientific uncertainty and to the effects of measures.</span>"
napa|ldcs|annex i national communications,"On the date and venue of COP-8, Karsten Sach (Germany) reported that two Parties were still considering hosting it. Delegates then adopted draft conclusions on the calendar of meetings of Convention bodies 2005-2007 and on feasibility of developing guidelines for the review of <span class=""highlight"">Annex I national communications</span>, and recommended to the COP a draft decision on the review of the third national communications and the roster of experts. The SBI forwarded to the COP a draft decision on the third compilation and synthesis of initial national communications from non-Annex I Parties. On the CGE, Contact Group Chair Ojoo-Massawa stressed that paragraphs relating to <span class=""highlight"">NAPAs</span> and the <span class=""highlight"">LDC</span> Expert Group remained bracketed pending discussions in the <span class=""highlight"">LDC</span> group. Approval of the relevant draft decisions was deferred."
lulucf,"Delegates then turned to outstanding <span class=""highlight"">LULUCF</span> issues in the Article 7 guidelines and the related COP/MOP-1 decision. After extensive discussion, including compromise proposals from several Parties and Chair Dovland, the <span class=""highlight"">LULUCF</span> package was forwarded to ministers, with the main area of contention being whether the <span class=""highlight"">LULUCF</span> principles as included in the <span class=""highlight"">Bonn Agreements</span> should lead to specific, mandatory reporting requirements within the Article 7 guidelines or should remain preambular guiding principles."
supplementarity|trigger,"Resuming in an evening session, the group considered the bracketed text on review of information under Protocol Article 3.14 (<span class=""highlight"">adverse effects</span>) in guidelines under Article 8. Chair Dovland highlighted a compromise proposal supporting annual as well as periodic reporting and review of information under Article 3.14, and said the key starting point is whether such reporting should <span class=""highlight"">trigger</span> loss of mechanisms eligibility. Parties did not reach agreement on this. On a new Russian proposal on confidentiality, Parties raised concerns and the issue was not resolved. On <span class=""highlight"">supplementarity</span> in the guidelines under Article 7, the US, supported by CANADA, highlighted the lack of legal context of a Chinese proposal specifying the aim of reducing <span class=""highlight"">per capita</span> <span class=""highlight"">emissions</span> differences between developed and developing countries. Work is expected to continue in informal consultations."
facilitative branch|trigger,"COMPLIANCE:   The negotiating group on compliance met in an evening session to consider the new Co-ChairsÂ’ non-paper on compliance, an EU/Umbrella Group proposed compliance package, as well as new text for a draft COP decision. CANADA introduced the package proposal, highlighting that it focused on <span class=""highlight"">trigger</span>, appeal, compliance action plan and suspension of eligibility to make transfers under Article 17. The G-77/CHINA and the ENVIRONMENTAL INTEGRITY GROUP supported the package. The NETHERLANDS then reported on the outcome of consultations on outstanding issues not reflected in the Co-ChairsÂ’ new non- paper. On the mandate of the <span class=""highlight"">facilitative branch</span>, he reported agreement on the deletion of wording specifying that it was the only branch responsible for addressing questions of implementation. On the consequences applied by the <span class=""highlight"">facilitative branch</span>, he said delegates had agreed that these be applied taking into account, rather than on the basis of, the principle of common but <span class=""highlight"">differentiated responsibilities</span> and respective capabilities. Delegates agreed to the new Co-ChairsÂ’ non-paper on procedures and mechanisms, as amended. Everton Vargas (Brazil) then reported on consultations he facilitated on the draft COP decision and recommended that the group adopt his proposed draft decision, with an editorial amendment. Delegates agreed, thus completing the work of the negotiating group."
lulucf|compliance system,"In a late evening Plenary, COP-7 President Elyazghi invited the negotiating group Chairs to report on progress. <span class=""highlight"">Compliance group</span> Co-Chair Slade reported that the text had been fully agreed and, with Co-Chair Dovland, thanked all delegations. Mechanisms group Co-Chairs Estrada and Chow reported progress, although some controversial issues from the three drafting groups remained in the text to be submitted to ministers. On Articles 5, 7 and 8, Chair Dovland highlighted two issues delegates had been unable to resolve, namely reporting on <span class=""highlight"">LULUCF</span> activities, and review and consequences of failure to report on Article 3.14. He suggested that, with the completion of the work on compliance, this issue might be more easily resolved, and noted that the groupÃ¯Â¿Â½s work on Article 7.4 could not be finalized until related work in the mechanisms group had been completed."
compliance system,"There was both joy and disappointment at COP-7 Tuesday night as negotiators cut a deal on compliance but fell short of the mark on the mechanisms and Articles 5, 7 and 8. Although there were handshakes and hugs as the <span class=""highlight"">compliance group</span> finished its work, some observers were already speculating on possible trade-offs involved in securing the deal. The mood in the mechanisms group was more muted. Although the Co-ChairsÃ¯Â¿Â½ new text is free of brackets, it was apparent that a number of key issues had yet to be resolved. On an optimistic note, however, some said that although the paper was not an agreed document, it was better to have a clean text that was not universally supported than one littered with brackets."
ldcs,"The High-Level Segment of COP-7 opened in the morning with speeches from representatives of UN bodies and specialized agencies, and a welcoming ceremony. It continued in the afternoon and evening with presentations from youth representatives and statements from 44 ministers and other heads of delegation. Negotiations also continued on the mechanisms, Protocol Articles 5 (methodological issues), 7 (communication of information) and 8 (review of information), and <span class=""highlight"">LDCs</span>."
poverty|development|sustainable development|mitigation options|ipcc third/fourth assessment report|intergovernmental panel on climate change|technology transfer|technology,"STATEMENTS BY UN BODIES AND SPECIALIZED AGENCIES:   The High-Level Segment opened with statements by UN bodies and specialized agencies. The WMO highlighted the <span class=""highlight"">IPCC</span>Â’s <span class=""highlight"">Third Assessment Report</span> (<span class=""highlight"">TAR</span>), noting new and stronger evidence of the contribution of human activities to climate change. UNEP urged ratification of the Protocol prior to the World Summit on Sustainable <span class=""highlight"">Development</span> (WSSD) and underlined the need to address the two global crises of ecological degradation and extreme <span class=""highlight"">poverty</span>. The <span class=""highlight"">GEF</span>: underlined its commitment to supporting capacity building, <span class=""highlight"">technology</span> transfer and adaptation; acknowledged the need for a more consultative process in the <span class=""highlight"">GEF</span> Council; and undertook to address the concerns raised in the recent evaluation of its performance. Emphasizing the links between <span class=""highlight"">development</span> and climate change, the UNDP noted, _inter alia_, that its country-office presence is being reinforced. UNITAR outlined its various training and networking activities relating to climate change. The CCD highlighted the importance of improving synergies between the Rio Conventions. The <span class=""highlight"">IPCC</span> summarized key findings of the <span class=""highlight"">TAR</span>, noting that developing countries will suffer disproportionate impacts, and highlighted the existence of barriers to more widespread implementation of technological adaptation and <span class=""highlight"">mitigation options</span>."
technology|technology transfer,"Prince Moulay Rachid of Morocco, speaking on behalf of King Mohammed VI, underlined the need for internationally-shared ethical values, and urged that hatred and rejection of the Â‘otherÂ’ must not be reduced and oversimplified by a vision that is blurred by emotion on the spur of the moment to the extent that it divides the world by concentrating the Â‘good guysÂ’ on just one side of it. Urging international <span class=""highlight"">solidarity</span> in addressing environmental concerns, he called for <span class=""highlight"">technology</span> transfer, new and additional <span class=""highlight"">financial resources</span>, and reducing external debt burdens."
buenos aires programme of work|intergovernmental panel on climate change|ipcc third/fourth assessment report,"STATEMENTS BY PARTIES:   Forty-four ministers and heads of delegation made statements. Many speakers highlighted the importance of maintaining the environmental integrity of the Protocol. Parties also drew attention to success on Tuesday in negotiations on compliance, and called for completion at COP-7 of work under the <span class=""highlight"">Buenos Aires Plan of Action</span>, with many stating that this would support ratification and <span class=""highlight"">entry into force</span> in time for the WSSD in September 2002. In addition, several speakers noted that the events of 11 September demonstrate the need for multilateral solutions to global problems that cannot be tackled by just one country. A number of delegates drew attention to the <span class=""highlight"">IPCC</span> <span class=""highlight"">TAR</span>, which demonstrates the need for urgent action to address climate change, and paid tribute to both COP-6 President Pronk and UNFCCC Executive Secretary Michael Zammit Cutajar."
cdm|commitments for non-annex i|new commitment,"On the current negotiations at COP-7, SWITZERLAND said it could not accept changes that weaken the <span class=""highlight"">Bonn Agreements</span>, and stated that no country can shirk its responsibilities, especially if it is a major country in the ratification process. IRAN, for the G-77/ CHINA, underscored its approach of principled <span class=""highlight"">flexibility</span>, and stated that neither COP-7 nor the WSSD was the appropriate forum for raising the issue of new <span class=""highlight"">commitments for developing</span> countries. BELGIUM, for the EU, highlighted outstanding issues on the mechanisms requiring resolution, including the election of the Executive Board of the <span class=""highlight"">CDM</span>. BULGARIA, for CG-11, CYPRUS and MALTA, noted the special circumstances of these individual countries in fulfilling their commitments. CANADA highlighted the need to be responsive to those whose participation is critical to <span class=""highlight"">entry into force</span> of the Protocol. SWEDEN said success in Marrakesh would constitute a powerful pledge for the US to reconsider its decision to be part of a global coalition to combat climate change."
cdm|lulucf,"On mechanisms, JAPAN cautioned against too many constraints on their use. The REPUBLIC OF KOREA said the full potential of the mechanisms should be realized, including unilateral <span class=""highlight"">CDM</span>. UKRAINE said <span class=""highlight"">JI</span> should be given priority and that the main goal should be the reduction, rather than the redistribution, of <span class=""highlight"">emissions</span>. On <span class=""highlight"">LULUCF</span>, CHINA cautioned against any loopholes."
funding|ldc fund|ldcs|napa|poverty|technology transfer|technology,"Regarding the circumstances and needs of developing countries and <span class=""highlight"">LDCs</span>, many speakers underscored the need for capacity building, adaptation and <span class=""highlight"">technology</span> transfer. IRELAND and NORWAY highlighted linkages between climate change and <span class=""highlight"">poverty</span>. CHINA underlined the principle of common but <span class=""highlight"">differentiated responsibilities</span>, and SENEGAL stressed the value of <span class=""highlight"">NAPAs</span> and called for greater commitment to the <span class=""highlight"">LDC</span> <span class=""highlight"">Fund</span>."
second commitment period,"On next steps in the climate change process, SAMOA, for AOSIS, said that once work on the BAPA is completed, Parties should review commitments under this regime, and suggested that they be stronger and more extensive. The US said it would continue to play a leading role in addressing climate change and is moving ahead with science-based measures. BRAZIL said it looked forward to negotiations on the <span class=""highlight"">second commitment period</span>, taking into account the Brazilian proposal based on the share of responsibility for causing climate change. INDIA said it was considering the possibility of hosting COP-8."
trigger,"Noting completion of negotiations on compliance, Chair Dovland made a proposal regarding all issues related to Article 3.14 (<span class=""highlight"">adverse effects</span>) whereby reporting problems would not <span class=""highlight"">trigger</span> loss of mechanismsÂ’ eligibility. JAPAN, AUSTRALIA and CANADA expressed concern with suggested mandatory language on reporting of Article 3.14 implementation. Participants were unable to agree on the proposal and the issue was deferred to ministers."
adverse effects/impacts|advers effect policy|policies and measures,"On reporting on <span class=""highlight"">P&amp;Ms</span> in accordance with Article 2.3 (<span class=""highlight"">adverse effects</span> of <span class=""highlight"">P&amp;Ms</span>) in the draft Article 7 guidelines, Chair Dovland recalled an earlier proposal to delete reference to future COP and COP/MOP decisions, and Parties agreed to this."
expert review,"Delegates then discussed at length three options on the composition of the <span class=""highlight"">expert review</span> teams (ERTs). Chair Dovland proposed adopting an option requesting the Secretariat to select <span class=""highlight"">ERT</span> members with a view to achieving balance between experts from Annex I and non-Annex I Parties, without compromising skills requirements. This was supported by the RUSSIAN FEDERATION, EU, JAPAN, and AUSTRALIA. The G-77/CHINA said he needed to consult further within the group, and no agreement was reached."
supplementarity,"JAPAN said the issue of reporting on <span class=""highlight"">supplementarity</span> relating to mechanisms should be forwarded to ministers for consideration. CHINA highlighted its proposed paragraph specifying the aim of reducing <span class=""highlight"">per capita</span> <span class=""highlight"">emissions</span> differences between developed and developing countries. The EU noted problems with such reporting, including lack of relevant developing country data. JAPAN, AUSTRALIA, CANADA and the US opposed the paragraph due to the lack of legal context."
funding|napa|ldcs|ldc fund,"<span class=""highlight"">LDCS</span>:   In the contact groupÃ¯Â¿Â½s final meeting, Chair Gamede noted the three draft proposals under consideration for adoption relating to: the guidelines for the preparation of <span class=""highlight"">NAPAs</span> and their annex; establishment of an <span class=""highlight"">LDC</span> Expert Group; and guidance on the operation of the <span class=""highlight"">LDC</span> <span class=""highlight"">Fund</span>. The US stressed a package deal on all three texts, and said they should remain bracketed in their entirety. All other Parties supported removing the brackets. The US said this matter should be decided by ministers, and the entirely bracketed texts were forwarded to the SBI."
ldcs,"The draft proposal on the status of the implementation of UNFCCC Article 4.9 (<span class=""highlight"">LDCs</span>) was agreed with brackets remaining around the reference to the three other decisions on <span class=""highlight"">LDCs</span>, at the request of the US. The draft proposal will be forwarded to the SBI."
lulucf,"The High-Level Segment of COP-7 continued with statements from 30 ministers and other heads of delegation, and from observer states, IGOs and NGOs. The SBI met to conclude its work. High-level talks and technical discussions took place during the day and into the night on the mechanisms, <span class=""highlight"">LULUCF</span>, Protocol Articles 5 (methodological issues), 7 (communication of information) and 8 (review of information), and input to the WSSD."
poverty,"STATEMENTS BY PARTIES:   Delegates met in the morning and afternoon to hear statements from 30 ministers and heads of delegation. Many Parties supported ratification of the Protocol and its <span class=""highlight"">entry into force</span> in time for the WSSD in Johannesburg, and several highlighted the growing scientific evidence provided by the <span class=""highlight"">IPCC</span> in support of urgent and stronger action on climate change. A number of Parties also underscored the close links between climate change and <span class=""highlight"">poverty</span>."
cdm,"On the mechanisms, PAKISTAN urged strong, clear and flexible rules on the <span class=""highlight"">CDM</span> based on principles of <span class=""highlight"">equity</span> and sustainability, and stressed that the <span class=""highlight"">CDM</span> and other mechanisms should not be a substitute for long-term <span class=""highlight"">emissions</span> reductions. THAILAND said it would like to see equal treatment of modalities and rules between mechanisms and a balance between <span class=""highlight"">adaptation and mitigation</span> activities. CHILE said the <span class=""highlight"">CDM</span> would facilitate access to <span class=""highlight"">technology</span> and address local environmental problems, and urged the <span class=""highlight"">IPCC</span> to speed up work on procedures for good practice guidance and permanence. MALAYSIA said the Executive Board should ensure environmental integrity of all projects. URUGUAY noted its willingness to participate in <span class=""highlight"">CDM</span> <span class=""highlight"">sinks</span> activities, and highlighted national efforts to prepare for the <span class=""highlight"">CDM</span>. The RUSSIAN FEDERATION insisted on the removal of limitations on PartiesÂ’ ability to use the mechanisms."
technology|environmentallyâ­sound technology|technology transfer,"On capacity building and <span class=""highlight"">technology</span> transfer, JORDAN said that progress in combating climate change required <span class=""highlight"">financial assistance</span>, transfer of <span class=""highlight"">environmentally-sound technologies</span>, and the extension of technical assistance for capacity building. EGYPT recommended the establishment of environmental information centers and clearinghouses for the transfer of environmentally- sound technologies. MALAYSIA, MOZAMBIQUE, PORTUGAL, URUGUAY and KUWAIT also highlighted the need for <span class=""highlight"">technology</span> transfer."
cdm|cdm projects|fuel|fossil fuels|ldcs|emission|gas|technology|technology development,"On the circumstances and needs of <span class=""highlight"">LDCs</span>, TANZANIA, BENIN and DJIBOUTI noted that they will be most affected by climate change and have the least capacity to cope. He urged steps to ensure that <span class=""highlight"">LDCs</span> can be fully involved in <span class=""highlight"">CDM</span> projects. MOZAMBIQUE and PORTUGAL noted the importance of the draft decisions on <span class=""highlight"">LDCs</span>. Regarding assistance to countries highly dependent on fossil <span class=""highlight"">fuel</span> exports, KUWAIT highlighted the importance of such assistance, and proposed: removal of tax incentives and exemptions from duties and fees in all sectors relating to <span class=""highlight"">emissions</span> of <span class=""highlight"">gases</span>; elimination of incentives for unsound <span class=""highlight"">technology</span>; assistance for diversifying economies; and the <span class=""highlight"">development</span> of <span class=""highlight"">technology</span> to allow lower <span class=""highlight"">emissions</span> from fossil <span class=""highlight"">fuel</span> use."
small island|vulnerability and adaptation|vulnerable|adaptation actions|mitigation actions|sectoral approaches|adaptive capacity|gef|adaptation fund|funding|ldcs,"On adaptation, PAKISTAN noted the need to broaden the focus from <span class=""highlight"">mitigation toward action</span> on <span class=""highlight"">adaptation and vulnerability. PERU stressed the lack of adaptation and vulnerability research. ALGERIA emphasized that arid and semi- arid zones are on the frontline of vulnerability, and encouraged synergies between the CCD, CBD and UNFCCC. NAMIBIA said an adaptive response requires, _inter alia_, an interdisciplinary and multi-sectoral approach. PORTUGAL said adaptation could promote sustainable development and equity within and across generations. PANAMA, for Central American Parties, drew attention to a new GEF regional adaptation pilot project, and URUGUAY underscored the importance of the Adaptation Fund. BANGLADESH supported the speedy application of the Adaptation and LDC Funds, and highlighted the particular vulnerability of low lying and small island states.</span>"
fuel|technology|energy|carbon sequestration|renewable energy,"Intergovernmental Organizations:   The INTERNATIONAL <span class=""highlight"">ENERGY</span> AGENCY said it was working on solutions to marshal market forces to achieve realistic climate change objectives. He highlighted renewable <span class=""highlight"">energy</span> options in combating climate change, while advocating that no possible <span class=""highlight"">fuel</span> or <span class=""highlight"">technology</span> solution be excluded, noting that carbon-intense options might be offset by <span class=""highlight"">carbon sequestration</span>, or that concerns over <span class=""highlight"">nuclear</span> could be resolved."
fuel|fossil fuels|poverty|climate change impacts|energy,"<span class=""highlight"">OPEC</span> highlighted the <span class=""highlight"">impacts of climate change</span> response measures on economies that are highly dependent on fossil <span class=""highlight"">fuel</span> exports. He suggested that the entire philosophy of <span class=""highlight"">energy</span> taxation be reconsidered, and stated that the biggest environmental challenge is <span class=""highlight"">poverty</span>."
cdm|cdm projects|funding|compliance system|business|investment,"NGOs:   CLIMATE ACTION NETWORK SOUTH stated that the commitment of developed countries to combating climate change and meeting their obligations remains weak. He supported a strong <span class=""highlight"">compliance regime</span> for the Protocol, and called for clear commitments to the various <span class=""highlight"">funds</span> agreed at COP-6 Part II, labeling current financial undertakings as pathetic. The INTERNATIONAL CHAMBER OF COMMERCE said further attention needed to be paid to developing the details on the mechanisms, including on the effect of the <span class=""highlight"">compliance regime</span> on credits acquired or sold by businesses with respect to <span class=""highlight"">emissions</span> trading, and on transfer and use of credits acquired through <span class=""highlight"">CDM</span> project <span class=""highlight"">investment</span>. Beyond COP-7, he advocated early negotiations on second and third commitment periods, and implementation of the UNFCCC in a manner that would allow full <span class=""highlight"">business</span> participation."
ldcs|sink|compliance system|cdm|poverty|health|vulnerable|technology|energy|renewable energy,"The INDIGENOUS PEOPLESÂ’ ORGANIZATIONS noted that there are 350 million <span class=""highlight"">indigenous peoples </span>in the world, with many being extremely <span class=""highlight"">vulnerable</span> to climate change. She requested a COP decision to grant <span class=""highlight"">indigenous peoples </span>a specific status in the climate change process, and said it should create an _ad hoc _intersessional open-ended working group. GLOBAL LEGISLATORS ORGANIZATION FOR A BALANCED ENVIRONMENT supported a rigorous <span class=""highlight"">compliance system</span>, limits on the use of <span class=""highlight"">sinks</span>, and a <span class=""highlight"">CDM</span> that involves as many developing countries and <span class=""highlight"">LDCs</span> as possible, and that includes small-scale projects. He supported active public procurement policies to bring prices down for renewable <span class=""highlight"">energy</span> and called for <span class=""highlight"">technology</span> leap-frogging. CLIMATE ACTION NETWORK NORTH linked climate change to <span class=""highlight"">health</span> and <span class=""highlight"">poverty</span> issues. She said Parties should not reopen agreed limits on the use of <span class=""highlight"">sinks</span>, and <span class=""highlight"">sinks</span> credits must not be carried into the next commitment period. Noting that she was from a Russian NGO, she said the Russian Federation will benefit from participation in the Protocol, and highlighted a statement by President Putin stating that he would be cooperating with the EU with a view to early ratification and <span class=""highlight"">entry into force</span>."
cdm|cdm projects|cers|compliance system|energy|business,"The US and EUROPEAN <span class=""highlight"">BUSINESS</span> COUNCILS FOR SUSTAINABLE <span class=""highlight"">ENERGY</span> supported a fast- track for <span class=""highlight"">CDM</span> projects, early crediting, full transferability of <span class=""highlight"">CERs</span>, and a binding <span class=""highlight"">compliance regime</span>. He also called for climate change processes to allow for civil society input while critical issues are being debated. The INTERNATIONAL CONFEDERATION OF FREE TRADE UNIONS, TRADE UNION ADVISORY COMMITTEE TO THE OECD and EUROPEAN CONFEDERATION OF FREE TRADE UNIONS highlighted the potential for job creation resulting from climate change measures and called for employment transition programmes."
business,"The WORLD <span class=""highlight"">BUSINESS</span> COUNCIL FOR SUSTAINABLE <span class=""highlight"">DEVELOPMENT</span> highlighted the role of <span class=""highlight"">business</span> as a solution provider and said the mechanisms should be efficient and function with low transaction costs. The WORLD COUNCIL OF CHURCHES evoked its convening of a COP-7 interfaith colloquium and outlined the Muslim and Christian perspectives on protecting the environment and avoiding climate change."
funding|napa|ldcs|ldc fund|financial mechanism,"SBI-15 convened for its final meeting to address its three outstanding agenda items: <span class=""highlight"">LDCs</span>, CGE and the report of the session. On <span class=""highlight"">LDCs</span>, Parties adopted draft conclusions on assessing the status of implementation of UNFCCC Article 4.9 (<span class=""highlight"">LDCs</span>). They also agreed to forward to the COP unbracketed draft decisions on: the establishment of an <span class=""highlight"">LDC</span> <span class=""highlight"">Fund</span>; guidance to the <span class=""highlight"">financial mechanism</span> for the operation of the <span class=""highlight"">LDC</span> <span class=""highlight"">Fund</span>; and guidelines for the preparation of <span class=""highlight"">NAPAs</span>. Parties also adopted a draft decision on the CGE, and the report of the session."
supplementarity|lulucf,"PROTOCOL ARTICLES 5, 7 AND 8:   The negotiating group on Articles 5, 7 and 8 met in an afternoon session. Chair Dovland reported that ministers and other senior officials were consulting on a <span class=""highlight"">LULUCF</span> compromise proposal, and would also consider the issue of reporting on <span class=""highlight"">supplementarity</span> and narrowing of <span class=""highlight"">per capita</span> <span class=""highlight"">emissions</span> differences, as well as questions related to reporting and review of Article 3.14 (<span class=""highlight"">adverse effects</span>) implementation."
non-annex i national communications|policies and measures|financial mechanism|adverse effects/impacts|education|annex i national communications|hfcs|perfluorocarbons|hydrofluorocarbons|ipcc third/fourth assessment report|intergovernmental panel on climate change|technology transfer|technology,"Among other things, Parties will take up: national communications from Annex I and non-Annex I Parties, and their guidelines, and the new mandate and terms of reference of the Consultative Group of Experts on <span class=""highlight"">non-Annex I National Communications (CGE); the financial mechanism; capacity-building; implementation of UNFCCC Article 4.8 and 4.9 (adverse effects); the Third Assessment Report (TAR) of the Intergovernmental Panel on Climate Change (IPCC); good practices in policies and measures (P&amp;Ms); research and systematic observation (RSO); cooperation with relevant international organizations; UNFCCC Article 6 (education, training and public awareness); development and transfer of technology; and issues relating to hydrofluorocarbons and perfluorocarbons.</span>"
land-use change|land use|lulucf|forestry,"Parties will also address methodological issues, including: guidelines under Protocol Articles 5 (methodological issues), 7 (communication of information) and 8 (review of information); guidelines on reporting and review of Annex I <span class=""highlight"">greenhouse gas inventories</span>; activities <span class=""highlight"">implemented jointly</span> (<span class=""highlight"">AIJ</span>); <span class=""highlight"">land use</span>, <span class=""highlight"">land-use</span> change and <span class=""highlight"">forestry</span> (<span class=""highlight"">LULUCF</span>); and scientific and methodological assessment of contributions to climate change."
policies and measures|adverse effects/impacts|advers effect policy|additional activities|forest management|forest|flexibility|economies in transition|eit|energy,"Other issues to be discussed include: cleaner or less greenhouse <span class=""highlight"">gas</span>-emitting <span class=""highlight"">energy</span>; the implementation of Protocol Article 2.3 (<span class=""highlight"">adverse effects</span> of <span class=""highlight"">P&amp;Ms</span>); special circumstances of Croatia under UNFCCC Article 4.6 (<span class=""highlight"">flexibility</span> for countries with <span class=""highlight"">economies in transition</span>); the Croatian proposal on <span class=""highlight"">forest</span> management activities under Protocol Article 3.4 (<span class=""highlight"">additional activities</span>); a Canadian proposal on modalities for the accounting of assigned amounts under Protocol Article 7.4 (registries) in relation to cleaner <span class=""highlight"">energy</span> exports; the request from a group of countries of Central Asia and the Caucasus, Albania and the Republic of Moldova (CACAM) for the clarification of the term developing countries in the context of UNFCCC decisions; review of the <span class=""highlight"">adequacy of commitments</span> under the UNFCCC; and a series of administrative and organizational matters."
food|climate change impacts|water|health|food security|intergovernmental panel on climate change|uncertainties|greenhouse gas emissions|gas|emission,"Climate change is considered one of the most serious threats to the world's environment, with negative impacts expected on human <span class=""highlight"">health</span>, <span class=""highlight"">food</span> security, economic activity, <span class=""highlight"">water</span> and other natural resources, and physical <span class=""highlight"">infrastructure</span>. Global climate varies naturally, but scientists agree that rising concentrations of anthropogenic <span class=""highlight"">greenhouse gas emissions in the EarthÂ’s atmosphere are leading to a change in the climate. According to the IPCC, the effects of climate change have already been observed. Despite some lingering uncertainties, a majority of scientists believe that precautionary and prompt action is necessary.</span>"
n2o|nitrous oxide|ch4|co2|gas,"The international political response to climate change began with the UN Framework Convention on Climate Change (UNFCCC). Adopted in 1992, the UNFCCC sets out a framework for action aimed at stabilizing atmospheric concentrations of greenhouse <span class=""highlight"">gases</span> to avoid <span class=""highlight"">dangerous interference</span> with the climate system. The greenhouse <span class=""highlight"">gases</span> to be limited include <span class=""highlight"">methane</span>, <span class=""highlight"">nitrous oxide</span>, and, in particular, <span class=""highlight"">carbon dioxide</span>. The UNFCCC entered into force on 21 March 1994. It now has 186 Parties."
